date,season,home_team,away_team,home_score,away_score,venue
2019-10-20,2019,Chicago Stars FC,Portland Thorns FC,1,0,SeatGeek Stadium
2019-10-20,2019,North Carolina Courage,Seattle Reign FC,4,1,WakeMed Soccer Park
2019-10-27,2019,North Carolina Courage,Chicago Stars FC,4,0,WakeMed Soccer Park
2021-05-15,2021,Racing Louisville FC,Kansas City Current,0,0,Lynn Family Stadium
2021-05-15,2021,Gotham FC,Houston Dash,1,0,Sports Illustrated Stadium
2021-05-16,2021,Seattle Reign FC,North Carolina Courage,0,0,Cheney Stadium
2021-05-16,2021,Orlando Pride,Washington Spirit,1,1,Inter&Co Stadium
2021-05-16,2021,Portland Thorns FC,Chicago Stars FC,5,0,Providence Park
2021-05-21,2021,Racing Louisville FC,Washington Spirit,2,0,Lynn Family Stadium
2021-05-22,2021,North Carolina Courage,Orlando Pride,1,2,WakeMed Soccer Park
2021-05-23,2021,Chicago Stars FC,Gotham FC,0,0,SeatGeek Stadium
2021-05-23,2021,Portland Thorns FC,Seattle Reign FC,1,2,Providence Park
2021-05-23,2021,Houston Dash,Kansas City Current,2,2,Shell Energy Stadium
2021-05-26,2021,Orlando Pride,Portland Thorns FC,2,1,Inter&Co Stadium
2021-05-27,2021,Kansas City Current,Chicago Stars FC,0,2,Legends Field
2021-05-27,2021,Washington Spirit,Houston Dash,2,1,Shell Energy Stadium
2021-05-28,2021,North Carolina Courage,Racing Louisville FC,5,0,WakeMed Soccer Park
